chr	start	end	strand	ID
chr1	3631	5899	+	AT1G01010
chr1	5928	8737	-	AT1G01020
chr1	11649	13714	-	AT1G01030
chr1	38752	40944	-	AT1G01070
chr1	52239	54692	+	AT1G01110
chr1	70115	72138	-	AT1G01150
chr1	108946	111609	+	AT1G01260
chr1	136124	138162	+	AT1G01350
chr1	143564	145684	+	AT1G01370
chr1	159856	162572	-	AT1G01440
chr1	168723	171165	+	AT1G01460
chr1	175782	178400	+	AT1G01480
chr1	180059	182358	-	AT1G01490
chr1	187211	190056	+	AT1G01510
chr1	195780	198684	+	AT1G01540
chr1	199639	201775	+	AT1G01550
chr1	202136	204335	+	AT1G01560
chr1	205176	207435	+	AT1G01570
chr1	218994	221286	+	AT1G01600
chr1	221691	224340	-	AT1G01610
chr1	240057	242608	-	AT1G01660
chr1	272111	274569	-	AT1G01740
chr1	276266	278448	-	AT1G01760
chr1	296001	298120	-	AT1G01820
chr1	304133	306287	-	AT1G01860
chr1	306480	309109	-	AT1G01880
chr1	310316	313130	+	AT1G01900
chr1	313101	315902	-	AT1G01910
chr1	352637	354969	-	AT1G02020
chr1	360918	363094	-	AT1G02060
chr1	365209	367340	+	AT1G02065
chr1	387277	389647	-	AT1G02090
chr1	392831	395528	+	AT1G02110
chr1	415079	418010	+	AT1G02190
chr1	440441	442877	-	AT1G02260
chr1	450527	452737	-	AT1G02290
chr1	453288	455463	+	AT1G02300
chr1	455688	458164	+	AT1G02305
chr1	458133	460696	-	AT1G02310
chr1	465718	467844	-	AT1G02340
chr1	474500	476511	+	AT1G02370
chr1	480852	483292	+	AT1G02390
chr1	486801	489577	+	AT1G02400
chr1	490925	492926	+	AT1G02410
chr1	504673	507204	-	AT1G02460
chr1	518251	520437	+	AT1G02500
chr1	537860	540109	+	AT1G02560
chr1	553050	555994	-	AT1G02610
chr1	584260	587219	+	AT1G02690
chr1	591826	594236	+	AT1G02720
chr1	599416	602038	-	AT1G02740
chr1	613216	616191	-	AT1G02800
chr1	618265	620480	+	AT1G02810
chr1	630505	633259	+	AT1G02850
chr1	635144	637262	+	AT1G02860
chr1	642752	644903	-	AT1G02880
chr1	655577	658148	-	AT1G02910
chr1	666872	669837	-	AT1G02960
chr1	693480	696382	+	AT1G03010
chr1	701478	703864	+	AT1G03030
chr1	703906	706631	-	AT1G03040
chr1	707726	710041	+	AT1G03050
chr1	743885	746479	-	AT1G03100
chr1	749246	751963	+	AT1G03110
chr1	756414	758612	+	AT1G03150
chr1	793353	795376	-	AT1G03250
chr1	795532	798463	-	AT1G03260
chr1	811033	813086	-	AT1G03300
chr1	869051	871211	-	AT1G03475
chr1	877862	880158	-	AT1G03520
chr1	880496	883391	-	AT1G03530
chr1	885623	887956	-	AT1G03550
chr1	890156	892410	-	AT1G03560
chr1	900887	903003	+	AT1G03610
chr1	914222	916222	-	AT1G03670
chr1	918299	920507	+	AT1G03687
chr1	941062	943377	-	AT1G03760
chr1	944572	947483	+	AT1G03770
chr1	967503	970130	-	AT1G03840
chr1	979308	981885	-	AT1G03860
chr1	985751	988146	+	AT1G03880
chr1	993400	995784	+	AT1G03905
chr1	1011172	1013365	-	AT1G03950
chr1	1024847	1027616	+	AT1G03990
chr1	1040383	1042892	+	AT1G04030
chr1	1057151	1059419	+	AT1G04090
chr1	1061457	1063784	-	AT1G04110
chr1	1073427	1075568	+	AT1G04130
chr1	1096946	1099898	+	AT1G04170
chr1	1106428	1108715	-	AT1G04190
chr1	1119699	1122526	-	AT1G04220
chr1	1125518	1128168	+	AT1G04230
chr1	1136258	1138613	+	AT1G04250
chr1	1154764	1157711	-	AT1G04310
chr1	1185550	1188517	-	AT1G04400
chr1	1189078	1191412	-	AT1G04410
chr1	1191608	1193884	+	AT1G04420
chr1	1217948	1220137	-	AT1G04490
chr1	1221433	1224366	-	AT1G04500
chr1	1231578	1234032	+	AT1G04520
chr1	1246728	1248775	-	AT1G04570
chr1	1258577	1261426	-	AT1G04590
chr1	1279388	1281618	+	AT1G04610
chr1	1313564	1315750	+	AT1G04690
chr1	1321904	1324782	+	AT1G04710
chr1	1331466	1333567	-	AT1G04750
chr1	1340669	1343584	-	AT1G04780
chr1	1356191	1358386	-	AT1G04820
chr1	1362867	1364962	-	AT1G04840
chr1	1373234	1375762	-	AT1G04870
chr1	1380382	1382599	-	AT1G04890
chr1	1396291	1399053	-	AT1G04930
chr1	1411170	1413627	+	AT1G04970
chr1	1413644	1416144	-	AT1G04980
chr1	1416343	1418482	-	AT1G04985
chr1	1419080	1421789	-	AT1G04990
chr1	1435254	1437667	-	AT1G05020
chr1	1448718	1450887	-	AT1G05055
chr1	1463202	1465622	+	AT1G05090
chr1	1484067	1486960	-	AT1G05150
chr1	1531641	1534410	-	AT1G05270
chr1	1535444	1537525	-	AT1G05280
chr1	1545106	1547849	-	AT1G05300
chr1	1564598	1567465	+	AT1G05360
chr1	1585371	1587778	-	AT1G05410
chr1	1640959	1643917	-	AT1G05550
chr1	1662370	1664398	-	AT1G05577
chr1	1669350	1671876	+	AT1G05590
chr1	1673861	1675934	-	AT1G05610
chr1	1679158	1681710	+	AT1G05620
chr1	1687436	1689501	-	AT1G05640
chr1	1707011	1709347	+	AT1G05690
chr1	1714950	1717276	+	AT1G05710
chr1	1730249	1732626	+	AT1G05785
chr1	1744773	1747693	+	AT1G05805
chr1	1766503	1768695	-	AT1G05850
chr1	1769014	1771115	+	AT1G05860
chr1	1775643	1778553	+	AT1G05880
